registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,insurance,transmission_type,owner_type,fuel_type,body_type
2016,1199,60000,90.0,5.0,18.0,3.65,1578,3.9377999999999975,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2011,624,30000,40.0,4.0,26.0,0.55,1579,0.685599999999999,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2020,1497,63000,120.0,5.0,20.0,11.4,1580,10.919699999999994,Third Party insurance,Manual,First Owner,Diesel,SUV
2013,1591,55000,120.0,5.0,18.0,4.4,1581,4.368799999999994,Comprehensive,Manual,First Owner,Petrol,Sedan
2017,1197,104436,80.0,5.0,18.0,5.11,1582,5.212400000000007,Third Party insurance,Automatic,Second Owner,Petrol,Hatchback
2016,1198,70000,90.0,5.0,20.0,3.87,1583,3.910700000000001,Comprehensive,Manual,First Owner,Petrol,Hatchback
2012,1497,40000,120.0,5.0,16.0,3.51,1584,3.705999999999997,Third Party insurance,Automatic,Third Owner,Petrol,Sedan
2012,1598,100000,100.0,5.0,20.0,4.0,1585,4.092599999999998,Third Party insurance,Manual,First Owner,Diesel,Sedan
2022,2179,4000,140.0,7.0,16.0,19.0,1586,18.8725,Comprehensive,Manual,First Owner,Diesel,SUV
2021,1493,28834,110.0,5.0,24.0,12.23,1587,12.679600000000008,Third Party,Manual,First Owner,Diesel,Sedan
2013,1498,150000,100.0,5.0,26.0,2.7,1588,3.097099999999997,Third Party insurance,Manual,First Owner,Diesel,Sedan
2011,1591,55695,120.0,5.0,18.0,3.33,1590,3.348699999999999,Comprehensive,Manual,First Owner,Petrol,Sedan
2012,1248,87895,70.0,5.0,20.0,4.46,1591,4.261699999999995,Comprehensive,Manual,Second Owner,Diesel,Sedan
2014,1197,62990,80.0,5.0,18.0,3.32,1592,3.5722999999999985,Third Party,Manual,Second Owner,Petrol,Hatchback
2022,1197,10843,80.0,5.0,20.0,8.44,1593,8.150400000000012,Third Party,Manual,First Owner,Petrol,Sedan
2017,1198,62442,80.0,6.0,26.0,4.35,1594,4.260800000000005,Comprehensive,Manual,First Owner,Diesel,Hatchback
2013,1364,65000,90.0,5.0,22.0,5.75,1595,5.1493,Comprehensive,Manual,Second Owner,Diesel,Sedan
2019,1969,38000,190.0,5.0,18.0,37.5,1596,39.495,Comprehensive,Automatic,First Owner,Diesel,SUV
2015,1498,90000,100.0,5.0,28.0,3.9,1597,4.206799999999995,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2011,998,45090,70.0,5.0,18.0,2.28,1598,2.3009000000000004,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2015,1405,120000,50.0,5.0,18.0,1.86,1600,2.1065000000000023,Third Party insurance,Manual,Third Owner,Diesel,Hatchback
2017,3198,166000,200.0,7.0,10.0,22.95,1601,23.641000000000005,Comprehensive,Automatic,First Owner,Diesel,SUV
2019,1248,70000,70.0,5.0,28.0,7.0,1602,6.8711,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2016,1197,80177,80.0,5.0,18.0,4.22,1603,4.346000000000006,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,1197,20241,80.0,5.0,22.0,5.25,1604,5.3295,Comprehensive,Manual,First Owner,Petrol,Hatchback
2014,1461,75000,110.0,5.0,20.0,3.65,1605,3.788099999999996,Third Party,Manual,Second Owner,Diesel,SUV
2019,1462,40000,100.0,5.0,22.0,6.9,1606,7.2386999999999935,Third Party insurance,Manual,First Owner,Petrol,Sedan
2017,1086,20000,70.0,5.0,20.0,2.5,1607,3.1324,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2020,1956,40000,170.0,5.0,16.0,22.0,1608,20.843599999999995,Third Party insurance,Manual,First Owner,Diesel,SUV
2014,1396,100000,90.0,5.0,22.0,3.3,1609,3.498200000000004,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2020,999,40000,110.0,5.0,18.0,11.0,1610,10.4959,Third Party insurance,Manual,First Owner,Petrol,Sedan
2020,1197,11131,80.0,5.0,20.0,7.94,1611,7.728000000000013,Not Available,Automatic,First Owner,Petrol,Sedan
2018,1498,49647,100.0,5.0,26.0,8.22,1612,7.91520000000001,Comprehensive,Manual,First Owner,Diesel,SUV
2011,1199,100000,70.0,5.0,22.0,2.3,1613,2.2069000000000023,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2019,1199,69000,80.0,5.0,24.0,4.65,1614,5.212399999999994,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2013,2494,120000,100.0,7.0,12.0,9.75,1615,9.743300000000003,Third Party insurance,Manual,Second Owner,Diesel,MUV
2019,1197,10000,80.0,5.0,18.0,6.0,1616,5.7418000000000005,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2022,1998,6000,250.0,5.0,16.0,60.0,1617,58.25499999999999,Comprehensive,Automatic,First Owner,Petrol,Sedan
2019,1197,72225,80.0,5.0,20.0,5.04,1618,5.143000000000004,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2021,1451,36000,140.0,6.0,16.0,18.1,1619,17.71259999999998,Comprehensive,Automatic,First Owner,Petrol,SUV
2018,1968,37370,180.0,5.0,16.0,32.75,1620,28.23400000000001,Comprehensive,Automatic,First Owner,Diesel,SUV
2016,1373,51236,90.0,5.0,20.0,5.33,1621,5.679900000000001,Third Party,Manual,Second Owner,Petrol,Sedan
2012,1998,87000,160.0,5.0,18.0,4.0,1622,4.1913,Third Party insurance,Manual,Fourth Owner,Diesel,Sedan
2013,1248,93000,90.0,7.0,20.0,6.25,1623,5.902100000000001,Comprehensive,Manual,First Owner,Diesel,MUV
2014,1395,65000,140.0,5.0,16.0,6.5,1624,6.455100000000001,Third Party,Manual,Second Owner,Petrol,Sedan
2010,1197,65856,80.0,5.0,16.0,2.1,1625,2.138399999999998,Third Party,Manual,Second Owner,Petrol,Hatchback
2022,999,15737,110.0,5.0,18.0,13.28,1626,13.921899999999992,Comprehensive,Automatic,First Owner,Petrol,Sedan
2014,1198,52597,90.0,5.0,18.0,4.13,1628,4.113799999999997,Comprehensive,Manual,Second Owner,Petrol,Sedan
2013,1461,104606,80.0,5.0,20.0,5.09,1629,4.629899999999993,Third Party insurance,Manual,Second Owner,Diesel,SUV
2019,1498,60000,80.0,5.0,24.0,6.5,1630,6.7575,Third Party insurance,Automatic,Second Owner,Diesel,Sedan
2022,2998,15747,340.0,7.0,10.0,130.0,1631,120.5015,Third Party insurance,Automatic,First Owner,Petrol,SUV
2018,2179,121000,150.0,7.0,18.0,8.98,1632,9.579200000000007,Third Party insurance,Automatic,First Owner,Diesel,MUV
2019,1197,60804,80.0,5.0,22.0,7.1,1634,6.934700000000007,Comprehensive,Manual,First Owner,Petrol,Sedan
2012,1197,80000,80.0,5.0,18.0,3.5,1635,3.6087,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2012,1388,72000,70.0,5.0,18.0,3.65,1636,3.805199999999997,Comprehensive,Manual,First Owner,Diesel,Sedan
2015,1995,99000,180.0,5.0,18.0,13.0,1637,13.0045,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2014,2494,121000,100.0,7.0,12.0,8.5,1639,9.2664,Comprehensive,Manual,Second Owner,Diesel,MUV
2017,1497,54531,120.0,5.0,18.0,6.98,1640,7.397700000000007,Third Party insurance,Manual,First Owner,Petrol,Sedan
2021,1497,50000,120.0,5.0,20.0,10.0,1642,10.411,Third Party insurance,Manual,First Owner,Diesel,SUV
2022,1956,15000,170.0,7.0,16.0,33.99,1643,31.15709999999995,Third Party,Automatic,First Owner,Diesel,SUV
2011,1197,33514,80.0,5.0,16.0,2.37,1644,2.430700000000003,Comprehensive,Manual,First Owner,Petrol,Hatchback
2019,998,18203,70.0,5.0,22.0,4.63,1645,4.585799999999999,Third Party,Manual,First Owner,Petrol,Hatchback
2017,1197,75936,80.0,5.0,22.0,5.13,1646,5.173999999999998,Third Party,Manual,First Owner,Petrol,Hatchback
2016,1396,128975,90.0,5.0,22.0,5.92,1647,5.937899999999998,Comprehensive,Manual,First Owner,Diesel,Hatchback
2020,1984,50000,190.0,5.0,16.0,30.0,1648,33.3,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2017,1995,74942,180.0,5.0,16.0,14.75,1649,16.42910000000001,Comprehensive,Automatic,First Owner,Diesel,SUV
2021,1197,23869,90.0,5.0,22.0,5.3,1650,5.841800000000001,Not Available,Manual,First Owner,Petrol,Hatchback
2022,1197,22263,80.0,5.0,32.0,8.2,1651,8.57200000000001,Third Party,Manual,First Owner,CNG,Sedan
2014,1248,208978,90.0,7.0,20.0,4.5,1652,4.5014,Not Available,Manual,First Owner,Diesel,MUV
2017,2179,95600,150.0,7.0,18.0,10.5,1653,10.924100000000005,Third Party insurance,Manual,First Owner,Diesel,MUV
2016,1499,60000,110.0,5.0,16.0,5.0,1654,5.289900000000001,Third Party insurance,Automatic,First Owner,Petrol,SUV
2010,1197,63000,80.0,5.0,18.0,1.77,1655,1.831000000000001,Third Party,Manual,First Owner,Petrol,Hatchback
2013,1796,79000,180.0,5.0,12.0,17.9,1656,16.27900000000002,Comprehensive,Manual,Second Owner,Petrol,Sedan
2015,2179,125000,120.0,7.0,16.0,9.25,1657,8.816699999999999,Comprehensive,Manual,Second Owner,Diesel,SUV
2016,1497,92974,120.0,5.0,16.0,5.65,1658,5.821299999999995,Third Party insurance,Manual,First Owner,Petrol,Sedan
2014,1198,96836,90.0,5.0,18.0,3.04,1659,3.201000000000003,Comprehensive,Manual,First Owner,Petrol,Sedan
2020,999,20796,70.0,7.0,20.0,7.25,1660,6.991400000000003,Comprehensive,Manual,First Owner,Petrol,MUV
2013,1498,67905,100.0,5.0,26.0,4.9,1661,4.698999999999994,Comprehensive,Manual,First Owner,Diesel,Sedan
2016,796,61237,50.0,5.0,22.0,2.91,1662,2.9412000000000007,Third Party,Manual,First Owner,Petrol,Hatchback
2016,1591,54419,120.0,5.0,18.0,5.0,1663,5.200699999999999,Third Party insurance,Manual,First Owner,Petrol,Sedan
2017,1991,45000,180.0,5.0,14.0,23.95,1664,25.2195,Comprehensive,Automatic,First Owner,Petrol,SUV
2018,998,77233,70.0,5.0,24.0,3.93,1665,3.806900000000003,Third Party,Manual,First Owner,Petrol,Hatchback
2018,1197,50874,80.0,5.0,22.0,5.21,1666,5.349899999999998,Zero Dep,Manual,First Owner,Petrol,Hatchback
2021,1462,30000,100.0,6.0,20.0,10.0,1667,10.3509,Third Party insurance,Manual,First Owner,Petrol,MUV
2019,1396,78064,90.0,5.0,22.0,7.3,1668,7.184899999999995,Third Party,Manual,Second Owner,Diesel,Hatchback
2014,814,22321,60.0,5.0,22.0,2.29,1669,2.2438999999999982,Third Party,Manual,Second Owner,Petrol,Hatchback
2021,2393,28000,150.0,8.0,12.0,22.99,1670,25.39079999999997,Comprehensive,Automatic,Second Owner,Diesel,MUV
2016,1591,65701,120.0,5.0,18.0,7.13,1671,6.837199999999998,Third Party,Automatic,Second Owner,Petrol,Sedan
2012,1497,52000,120.0,5.0,16.0,3.45,1672,3.630399999999996,Third Party insurance,Manual,First Owner,Petrol,Sedan
2017,999,34061,70.0,5.0,24.0,3.15,1673,3.223599999999999,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2021,1197,14703,90.0,5.0,22.0,8.05,1674,8.27009999999999,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2015,1197,26566,80.0,5.0,18.0,3.68,1675,3.666500000000005,Third Party,Manual,Second Owner,Petrol,Hatchback
2014,2143,120000,200.0,5.0,12.0,11.9,1676,12.783300000000004,Comprehensive,Automatic,Second Owner,Diesel,Sedan
2019,1248,54264,90.0,5.0,24.0,7.63,1677,7.919899999999999,Zero Dep,Manual,First Owner,Diesel,SUV
2021,1197,10000,110.0,5.0,16.0,11.5,1678,11.413200000000002,Third Party insurance,Automatic,First Owner,Petrol,SUV
2021,1498,12235,150.0,5.0,18.0,17.0,1679,18.45470000000001,Zero Dep,Automatic,First Owner,Petrol,SUV
2018,1199,46602,90.0,5.0,18.0,8.65,1680,8.386499999999993,Comprehensive,Manual,First Owner,Petrol,SUV
2019,1598,52529,100.0,5.0,14.0,7.99,1681,8.231900000000001,Zero Dep,Manual,First Owner,Petrol,Sedan
2017,1248,44700,70.0,5.0,28.0,5.25,1682,5.400499999999999,Comprehensive,Manual,Second Owner,Diesel,Hatchback
2018,2755,147000,170.0,7.0,12.0,15.65,1683,17.37700000000002,Comprehensive,Automatic,First Owner,Diesel,MUV
2021,1462,30000,100.0,7.0,20.0,12.0,1684,11.3806,Third Party insurance,Manual,Third Owner,Petrol,MUV
2022,1197,10000,80.0,5.0,18.0,9.5,1685,9.4514,Third Party insurance,Manual,Second Owner,Petrol,SUV
2020,1461,60000,80.0,5.0,22.0,7.0,1686,6.9243000000000015,Third Party insurance,Manual,Second Owner,Diesel,Sedan
2013,1461,80052,80.0,5.0,20.0,5.15,1687,4.770099999999996,Comprehensive,Manual,First Owner,Diesel,SUV
2011,1197,60000,80.0,5.0,16.0,2.94,1688,2.581499999999999,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2018,1186,40000,70.0,5.0,24.0,5.5,1689,5.2194,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2016,1197,119468,80.0,5.0,18.0,5.71,1690,5.257599999999994,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2019,796,26650,50.0,5.0,32.0,3.35,1691,3.415900000000001,Zero Dep,Manual,Second Owner,CNG,Hatchback
2019,1199,30000,90.0,5.0,20.0,5.4,1692,5.434699999999995,Third Party insurance,Manual,First Owner,Petrol,Sedan
2010,796,24693,50.0,5.0,20.0,1.56,1693,1.5800000000000014,Third Party,Manual,First Owner,Petrol,Hatchback
2020,998,10000,120.0,5.0,18.0,11.5,1695,11.4605,Third Party insurance,Automatic,Second Owner,Petrol,SUV
2016,1197,17797,80.0,5.0,18.0,4.95,1696,5.200699999999995,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2018,998,20000,70.0,5.0,24.0,4.1,1697,4.436700000000003,Third Party insurance,Automatic,Third Owner,Petrol,Hatchback
2021,1984,5000,240.0,5.0,14.0,37.0,1698,42.444,Comprehensive,Automatic,First Owner,Petrol,Sedan
2014,1497,54759,120.0,5.0,18.0,4.79,1699,5.263500000000005,Third Party,Manual,First Owner,Petrol,Sedan
2016,1198,69704,90.0,5.0,18.0,3.38,1700,3.672499999999998,Comprehensive,Manual,First Owner,Petrol,Sedan
2013,1198,67148,90.0,5.0,18.0,3.13,1701,3.2073999999999967,Comprehensive,Manual,First Owner,Petrol,Sedan
2015,1120,113593,70.0,5.0,24.0,3.15,1703,3.0915,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2016,1498,120000,90.0,5.0,20.0,4.25,1704,4.5199,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2014,1968,120000,170.0,5.0,14.0,13.0,1705,13.1437,Third Party insurance,Automatic,First Owner,Diesel,SUV
2019,1497,55002,120.0,5.0,18.0,9.0,1706,9.0069,Comprehensive,Automatic,First Owner,Petrol,Sedan
2012,1582,100000,130.0,5.0,22.0,4.2,1708,4.0822999999999965,Third Party insurance,Manual,Second Owner,Diesel,Sedan
2017,1197,16133,80.0,5.0,20.0,5.71,1710,5.708499999999999,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2014,1248,90000,70.0,5.0,24.0,3.8,1711,3.7573000000000047,Third Party insurance,Manual,Second Owner,Diesel,Sedan
2017,1498,30296,110.0,5.0,22.0,8.14,1712,8.273199999999992,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2014,1197,60574,90.0,5.0,22.0,3.58,1713,3.7133,Comprehensive,Manual,First Owner,Petrol,Hatchback
2014,1197,20000,90.0,5.0,20.0,5.15,1714,4.779399999999994,Comprehensive,Manual,First Owner,Petrol,Sedan
2012,1197,62081,80.0,5.0,20.0,2.05,1715,2.3131000000000026,Not Available,Manual,First Owner,Petrol,Hatchback
2016,1968,30000,170.0,5.0,14.0,28.0,1716,26.0987,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2016,1197,42861,90.0,5.0,22.0,5.64,1717,5.5458999999999925,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2013,1197,34271,90.0,5.0,22.0,4.12,1718,4.051500000000002,Third Party,Manual,First Owner,Petrol,Hatchback
2021,1451,26000,140.0,5.0,14.0,15.75,1719,16.0452,Third Party insurance,Automatic,First Owner,Petrol,SUV
2009,1086,70000,60.0,5.0,18.0,0.81,1720,1.0607000000000009,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2016,1498,110000,100.0,5.0,26.0,6.0,1721,6.2768,Third Party insurance,Manual,Third Owner,Diesel,Sedan
2011,1598,69000,100.0,5.0,16.0,2.45,1722,2.5411999999999977,Comprehensive,Manual,Second Owner,Petrol,Sedan
2021,1493,30000,110.0,5.0,18.0,17.41,1723,17.502900000000018,Third Party insurance,Automatic,First Owner,Diesel,SUV
2020,2393,85000,150.0,7.0,12.0,21.5,1724,21.926100000000005,Comprehensive,Manual,First Owner,Diesel,MUV
2022,1197,33554,110.0,5.0,16.0,11.25,1725,11.279900000000003,Comprehensive,Manual,First Owner,Petrol,SUV
2017,1582,44532,130.0,5.0,22.0,9.49,1726,9.62240000000001,Comprehensive,Automatic,First Owner,Diesel,Sedan
2019,1498,60000,100.0,5.0,24.0,7.25,1727,7.389100000000003,Third Party insurance,Manual,First Owner,Diesel,SUV
2016,1582,88000,130.0,5.0,18.0,9.85,1728,9.750400000000012,Third Party insurance,Automatic,First Owner,Diesel,SUV
2020,999,42061,70.0,5.0,22.0,4.85,1729,4.745600000000006,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2017,1248,120000,70.0,5.0,22.0,3.25,1730,3.5003999999999995,Third Party insurance,Manual,First Owner,Diesel,Sedan
2014,1197,55756,90.0,5.0,22.0,3.73,1731,3.690800000000002,Comprehensive,Manual,Second Owner,Petrol,Sedan
2021,1197,25000,110.0,5.0,16.0,10.25,1732,10.4142,Third Party insurance,Automatic,First Owner,Petrol,SUV
2016,1497,51336,120.0,5.0,18.0,4.34,1733,4.671699999999995,Comprehensive,Manual,Second Owner,Petrol,Sedan
2020,998,44005,70.0,5.0,22.0,4.9,1734,4.774699999999996,Comprehensive,Manual,First Owner,Petrol,Hatchback
2013,814,50000,60.0,5.0,22.0,3.0,1735,2.3834000000000004,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2015,1598,26218,100.0,5.0,14.0,5.59,1736,5.659399999999997,Third Party,Manual,First Owner,Petrol,SUV
2009,1197,120000,80.0,5.0,20.0,1.6,1737,1.592699999999998,Third Party insurance,Manual,Fifth Owner,Petrol,Hatchback
2019,1197,10000,80.0,5.0,18.0,5.5,1738,5.980900000000002,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2014,2143,43000,200.0,5.0,16.0,14.75,1739,17.380900000000008,Comprehensive,Automatic,First Owner,Diesel,SUV
2018,2179,51000,140.0,7.0,16.0,7.99,1740,9.140000000000008,Comprehensive,Manual,First Owner,Diesel,SUV
2015,1598,47351,100.0,5.0,16.0,5.74,1741,5.714700000000002,Third Party,Manual,First Owner,Petrol,Sedan
2016,1248,70000,90.0,5.0,28.0,5.05,1742,5.3934000000000015,Third Party insurance,Manual,First Owner,Diesel,Sedan
2019,1086,30000,70.0,5.0,20.0,4.2,1743,4.326699999999996,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2020,1197,22599,80.0,5.0,20.0,6.38,1744,6.364799999999999,Third Party,Manual,First Owner,Petrol,Sedan
2014,1368,80000,110.0,5.0,14.0,4.2,1745,4.435699999999995,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2017,1498,27212,100.0,5.0,14.0,9.0,1746,8.327800000000002,Not Available,Automatic,First Owner,Petrol,SUV
2018,2179,71000,140.0,7.0,16.0,10.95,1747,10.448200000000012,Comprehensive,Manual,First Owner,Diesel,SUV
2020,1197,24303,80.0,5.0,20.0,6.95,1748,6.986500000000006,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2015,1198,104289,90.0,5.0,18.0,3.76,1749,3.929199999999995,Third Party,Manual,First Owner,Petrol,Sedan
2010,1586,80000,100.0,5.0,12.0,2.35,1750,2.564599999999998,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2022,1451,10000,140.0,6.0,16.0,23.5,1751,22.202500000000004,Third Party insurance,Automatic,First Owner,Petrol,SUV
2021,998,10000,120.0,5.0,18.0,10.0,1752,9.987,Third Party insurance,Manual,First Owner,Petrol,SUV
2015,2179,92000,140.0,7.0,16.0,7.25,1753,7.412700000000001,Comprehensive,Manual,First Owner,Diesel,SUV
2020,1995,6001,190.0,5.0,20.0,43.5,1754,45.3515,Comprehensive,Automatic,First Owner,Diesel,Sedan
2021,998,30000,60.0,5.0,32.0,5.5,1755,5.5521,Third Party insurance,Manual,First Owner,CNG,Hatchback
2015,998,60000,70.0,5.0,20.0,2.0,1756,2.351,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2010,998,19332,70.0,5.0,20.0,1.35,1757,1.476999999999999,Comprehensive,Manual,First Owner,Petrol,Hatchback
2023,999,1800,70.0,5.0,22.0,5.96,1758,5.796099999999998,Zero Dep,Manual,First Owner,Petrol,Hatchback
2014,1396,60000,70.0,5.0,24.0,2.0,1759,2.6473,Third Party insurance,Manual,First Owner,Diesel,Sedan
2017,1197,28000,80.0,5.0,22.0,6.45,1760,6.367499999999999,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2017,1598,42000,100.0,5.0,14.0,7.65,1761,7.785599999999992,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2017,796,75723,40.0,5.0,34.0,2.95,1762,2.8526999999999965,Comprehensive,Manual,Second Owner,CNG,Hatchback
2019,1197,42110,80.0,5.0,22.0,5.53,1763,5.60589999999999,Zero Dep,Manual,First Owner,Petrol,Sedan
2015,1582,100000,130.0,5.0,20.0,4.52,1764,4.930999999999994,Third Party insurance,Automatic,Third Owner,Diesel,Sedan
2019,1197,21687,80.0,5.0,22.0,7.13,1765,6.794999999999998,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2021,1462,30000,100.0,5.0,20.0,9.0,1766,9.1462,Third Party insurance,Manual,First Owner,Petrol,Sedan
2018,1591,50535,120.0,5.0,16.0,7.49,1767,8.015700000000002,Comprehensive,Manual,Second Owner,Petrol,Sedan
2011,1995,120000,180.0,4.0,16.0,5.25,1769,6.698499999999999,Third Party insurance,Automatic,Second Owner,Diesel,Sedan
2017,1498,32400,100.0,5.0,22.0,7.25,1770,7.089200000000003,Comprehensive,Manual,Second Owner,Diesel,SUV
2015,1496,59500,120.0,5.0,14.0,5.25,1771,5.317599999999999,Third Party insurance,Automatic,First Owner,Petrol,SUV
2018,1199,81854,90.0,5.0,20.0,6.27,1772,6.179199999999994,Comprehensive,Manual,First Owner,Petrol,Sedan
2016,1248,70000,90.0,7.0,24.0,7.9,1773,7.307499999999994,Third Party insurance,Manual,Second Owner,Diesel,MUV
2018,1956,60000,170.0,5.0,18.0,13.0,1774,13.0055,Third Party insurance,Manual,First Owner,Diesel,SUV
2020,1086,60000,70.0,5.0,20.0,4.8,1775,4.987600000000005,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2018,1498,70000,100.0,5.0,26.0,7.5,1776,7.405799999999999,Third Party insurance,Manual,First Owner,Diesel,Sedan
2010,998,90000,70.0,5.0,20.0,1.2,1777,1.3707999999999998,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2012,1199,100000,70.0,5.0,22.0,4.2,1778,4.073099999999996,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2015,2179,69457,120.0,7.0,16.0,8.5,1779,8.3648,Third Party insurance,Manual,Second Owner,Diesel,SUV
2015,2494,125000,100.0,8.0,12.0,11.99,1780,11.179400000000005,Third Party insurance,Manual,First Owner,Diesel,MUV
2021,999,20000,70.0,7.0,18.0,6.85,1781,7.004200000000008,Third Party insurance,Automatic,First Owner,Petrol,MUV
2016,998,74250,70.0,5.0,24.0,3.11,1782,3.444100000000006,Zero Dep,Manual,Second Owner,Petrol,Hatchback
2010,998,89928,70.0,5.0,18.0,2.69,1783,2.6430999999999987,Third Party,Manual,First Owner,Petrol,Hatchback
2016,1197,71469,80.0,5.0,22.0,5.34,1784,5.3282999999999925,Third Party,Automatic,First Owner,Petrol,Hatchback
2016,2179,135000,140.0,7.0,16.0,10.45,1785,10.25390000000001,Third Party insurance,Automatic,First Owner,Diesel,SUV
2011,998,100000,70.0,5.0,20.0,1.35,1786,1.4546999999999983,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2018,1497,49461,120.0,5.0,14.0,9.45,1787,9.31070000000001,Third Party insurance,Automatic,First Owner,Petrol,SUV
2018,2179,80000,150.0,7.0,16.0,12.5,1788,12.0736,Third Party insurance,Manual,Second Owner,Diesel,SUV
2015,2987,105641,250.0,5.0,12.0,26.95,1789,28.701999999999984,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2013,1461,110000,110.0,5.0,20.0,4.5,1790,4.162000000000001,Third Party insurance,Manual,Second Owner,Diesel,SUV
2018,1197,10000,80.0,5.0,22.0,8.0,1791,7.331299999999998,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2011,998,87968,70.0,5.0,18.0,1.87,1792,1.9620000000000024,Comprehensive,Manual,First Owner,Petrol,Hatchback
2021,999,15000,100.0,5.0,20.0,10.5,1793,10.059,Comprehensive,Manual,First Owner,Petrol,SUV
2019,1497,6492,120.0,5.0,16.0,9.42,1794,9.544799999999997,Zero Dep,Manual,Second Owner,Petrol,SUV
2020,1199,29597,120.0,5.0,16.0,10.28,1795,10.223699999999983,Comprehensive,Automatic,First Owner,Petrol,SUV
2016,1968,70000,150.0,5.0,18.0,17.05,1796,17.64879999999998,Comprehensive,Automatic,First Owner,Diesel,SUV
2008,2354,60000,180.0,5.0,12.0,2.7,1797,3.739699999999997,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2019,1991,20500,180.0,5.0,14.0,29.75,1798,29.5262,Comprehensive,Automatic,First Owner,Petrol,SUV
2020,998,34499,120.0,5.0,18.0,9.7,1799,10.23380000000001,Comprehensive,Automatic,First Owner,Petrol,SUV
2017,1199,32300,90.0,5.0,20.0,5.4,1800,5.659999999999993,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2017,1197,42303,80.0,5.0,22.0,6.18,1801,6.079199999999998,Comprehensive,Manual,First Owner,Petrol,Hatchback
2016,1248,90000,90.0,5.0,24.0,8.0,1802,7.375399999999998,Third Party insurance,Manual,First Owner,Diesel,SUV
2017,2393,77000,150.0,8.0,14.0,15.25,1803,15.297499999999998,Comprehensive,Manual,Second Owner,Diesel,MUV
2014,1461,60000,80.0,5.0,20.0,5.0,1804,4.5287,Third Party insurance,Manual,Second Owner,Diesel,SUV
2018,1582,95000,130.0,5.0,22.0,9.75,1806,9.6373,Comprehensive,Manual,First Owner,Diesel,Sedan
2018,799,22636,50.0,5.0,26.0,3.22,1807,3.134600000000002,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2017,1197,9150,80.0,5.0,18.0,5.5,1808,5.618299999999997,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2021,1950,16000,190.0,5.0,16.0,69.0,1809,64.1694,Comprehensive,Automatic,First Owner,Diesel,Sedan
2014,1497,62015,120.0,5.0,18.0,5.69,1810,6.0111000000000026,Comprehensive,Automatic,Second Owner,Petrol,Sedan
2019,1353,28690,140.0,5.0,16.0,13.51,1811,13.9812,Comprehensive,Manual,First Owner,Petrol,SUV
2017,998,89329,70.0,5.0,24.0,4.77,1812,4.475099999999996,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2003,1589,110000,90.0,5.0,14.0,0.75,1813,0.8851293000000002,Third Party insurance,Manual,Second Owner,Petrol,Sedan
