,registered_year,engine_capacity,kms_driven,max_power,seats,mileage,resale_price_Lakh,ID,prediction,city,insurance,transmission_type,owner_type,fuel_type,body_type
1990,2017,1199,104211,90.0,5.0,18.0,4.79,2111,4.839200000000006,Gurgaon,Comprehensive,Manual,First Owner,Petrol,Hatchback
1991,2020,998,12000,120.0,5.0,18.0,11.25,2112,11.348,Chennai,Comprehensive,Automatic,First Owner,Petrol,SUV
1992,2019,2993,52000,300.0,5.0,12.0,110.0,2113,101.716,Delhi,Third Party insurance,Automatic,First Owner,Diesel,SUV
1993,2016,1591,42000,120.0,5.0,18.0,6.45,2114,6.541500000000003,Mumbai,Comprehensive,Automatic,First Owner,Petrol,Sedan
1994,2021,999,25725,100.0,5.0,18.0,7.71,2115,8.694900000000008,Ahmedabad,Third Party,Automatic,First Owner,Petrol,SUV
1995,2019,1496,21284,110.0,5.0,18.0,8.98,2116,9.033600000000009,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,Sedan
1996,2022,1197,12047,80.0,5.0,22.0,7.09,2117,7.145200000000001,Chandigarh,Zero Dep,Manual,First Owner,Petrol,Hatchback
1997,2014,998,53394,70.0,5.0,20.0,3.07,2118,3.019199999999997,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
1998,2014,814,50000,60.0,5.0,22.0,2.0,2119,2.031200000000001,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
1999,2010,1298,67000,90.0,5.0,18.0,3.6,2120,3.2568000000000024,Chennai,Comprehensive,Manual,Second Owner,Petrol,Sedan
2000,2016,1197,75131,80.0,5.0,22.0,6.1,2121,6.141500000000009,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
2001,2018,1197,88881,80.0,5.0,22.0,5.0,2122,5.3617,Chandigarh,Zero Dep,Automatic,First Owner,Petrol,Hatchback
2002,2013,1197,80000,90.0,5.0,18.0,4.1,2123,3.9334000000000033,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2003,2019,1197,67366,100.0,5.0,18.0,9.82,2125,9.280300000000016,Chennai,Third Party,Automatic,First Owner,Petrol,Sedan
2004,2011,998,50000,70.0,5.0,18.0,2.2,2126,2.2141999999999977,Gurgaon,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2005,2021,2925,14000,280.0,5.0,14.0,120.0,2127,112.2875,Chennai,Comprehensive,Automatic,First Owner,Diesel,Sedan
2006,2018,1198,18117,80.0,6.0,18.0,4.68,2128,4.572600000000005,Ahmedabad,Zero Dep,Manual,First Owner,Petrol,SUV
2007,2013,2967,58000,240.0,7.0,12.0,14.14,2129,16.368900000000025,Delhi,Comprehensive,Automatic,First Owner,Diesel,SUV
2008,2018,1186,120000,70.0,5.0,26.0,4.25,2130,4.219499999999999,Delhi,Third Party insurance,Manual,First Owner,Diesel,Sedan
2009,2021,796,16771,50.0,5.0,22.0,3.92,2131,3.9904,Mumbai,Third Party,Manual,First Owner,Petrol,Hatchback
2010,2022,1199,10000,90.0,5.0,20.0,9.0,2132,8.714299999999998,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,SUV
2011,2013,1399,150000,70.0,5.0,20.0,2.0,2133,2.2954,Kolkata,Third Party insurance,Manual,First Owner,Diesel,Sedan
2012,2015,2354,74008,190.0,5.0,12.0,10.75,2134,11.3966,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,SUV
2013,2013,1248,71005,70.0,5.0,22.0,4.49,2135,4.141500000000004,Chennai,Third Party,Manual,First Owner,Diesel,Hatchback
2014,2013,1995,150000,180.0,5.0,18.0,8.0,2136,9.1191,Ahmedabad,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2015,2013,1248,119000,70.0,5.0,28.0,3.95,2137,3.756199999999997,Hyderabad,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2016,2013,998,80001,70.0,5.0,20.0,3.29,2138,3.0976000000000017,Mumbai,Comprehensive,Manual,First Owner,Petrol,Hatchback
2017,2011,796,60000,50.0,5.0,20.0,1.75,2139,1.7311,Ahmedabad,Comprehensive,Manual,First Owner,Petrol,Hatchback
2018,2017,1497,36000,120.0,5.0,18.0,8.1,2140,8.366700000000009,Mumbai,Comprehensive,Automatic,First Owner,Petrol,Sedan
2019,2013,1197,106597,80.0,5.0,18.0,3.04,2141,3.1292000000000013,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
2020,2018,1497,25742,120.0,5.0,18.0,8.04,2142,8.542799999999994,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Sedan
2021,2010,1197,106877,90.0,5.0,18.0,1.29,2143,1.477400000000001,Gurgaon,Not Available,Manual,Third Owner,Petrol,Sedan
2022,2018,1199,71165,90.0,5.0,18.0,6.37,2145,6.462100000000001,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2023,2018,1248,41000,90.0,5.0,24.0,9.75,2146,9.1905,Ahmedabad,Comprehensive,Automatic,First Owner,Diesel,SUV
2024,2011,1086,31000,60.0,5.0,18.0,2.45,2147,2.339099999999997,Hyderabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2025,2016,1197,25000,80.0,5.0,20.0,5.5,2148,5.236499999999999,Pune,Comprehensive,Manual,First Owner,Petrol,Hatchback
2026,2013,1197,37357,90.0,5.0,22.0,4.85,2149,4.559900000000004,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback
2027,2016,1197,80000,80.0,5.0,16.0,4.7,2150,4.576799999999995,Gurgaon,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2028,2012,1199,82690,70.0,5.0,22.0,3.0,2151,3.043500000000001,Chandigarh,Not Available,Manual,Third Owner,Diesel,Hatchback
2029,2015,1498,77245,100.0,5.0,28.0,4.7,2152,4.911999999999995,Chennai,Comprehensive,Manual,Second Owner,Diesel,Hatchback
2030,2010,1364,120000,90.0,5.0,22.0,2.6,2153,2.402899999999997,Delhi,Third Party insurance,Manual,Third Owner,Diesel,Sedan
2031,2016,1197,106853,80.0,5.0,18.0,4.15,2154,4.423999999999992,Ahmedabad,Third Party,Manual,First Owner,Petrol,Hatchback
2032,2018,1248,110000,90.0,5.0,24.0,8.6,2155,8.46070000000001,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,SUV
2033,2020,1498,11249,120.0,5.0,18.0,9.51,2156,9.930499999999997,Hyderabad,Not Available,Manual,First Owner,Petrol,Sedan
2034,2014,1198,51463,90.0,5.0,20.0,3.0,2157,3.0027000000000004,Kolkata,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2035,2014,1248,120000,90.0,5.0,22.0,2.7,2159,3.091799999999996,Pune,Third Party insurance,Manual,Third Owner,Diesel,Sedan
2036,2020,1197,40000,80.0,5.0,22.0,6.0,2160,5.985100000000001,Gurgaon,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2037,2012,998,80000,60.0,5.0,26.0,2.6,2161,2.6316999999999977,Hyderabad,Third Party insurance,Manual,Second Owner,CNG,Hatchback
2038,2021,1498,45568,120.0,5.0,18.0,9.5,2162,9.880199999999997,Chennai,Comprehensive,Manual,First Owner,Petrol,Sedan
2039,2015,1373,86851,90.0,5.0,20.0,5.72,2163,5.686200000000009,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Sedan
2040,2014,1968,86331,170.0,5.0,12.0,11.0,2164,12.270600000000002,Kolkata,Comprehensive,Automatic,Second Owner,Diesel,SUV
2041,2015,2143,85612,200.0,5.0,12.0,13.72,2165,15.277900000000018,Gurgaon,Third Party,Automatic,First Owner,Diesel,Sedan
2042,2015,2179,110000,140.0,7.0,16.0,6.0,2166,6.4873,Mumbai,Third Party insurance,Manual,Second Owner,Diesel,SUV
2043,2009,1197,94667,80.0,5.0,18.0,1.5,2167,1.5301292999999998,Gurgaon,Comprehensive,Manual,First Owner,Petrol,Hatchback
2044,2013,1399,120000,70.0,5.0,20.0,1.7,2168,2.1111999999999984,Ahmedabad,Third Party insurance,Manual,Third Owner,Diesel,Hatchback
2045,2019,1497,21278,120.0,5.0,16.0,9.34,2169,9.141100000000003,Delhi,Third Party insurance,Manual,First Owner,Petrol,SUV
2046,2015,1499,72000,110.0,5.0,16.0,5.5,2170,5.389599999999998,Delhi,Comprehensive,Automatic,Second Owner,Petrol,SUV
2047,2018,1498,27545,100.0,5.0,26.0,8.95,2171,9.08280000000001,Bangalore,Comprehensive,Manual,First Owner,Diesel,SUV
2048,2020,1598,113423,100.0,5.0,14.0,9.48,2172,9.89110000000001,Gurgaon,Third Party,Manual,First Owner,Petrol,Sedan
2049,2012,1086,53806,70.0,5.0,20.0,2.59,2173,2.5930000000000013,Chennai,Third Party insurance,Manual,Third Owner,Petrol,Hatchback
2050,2020,1497,60000,110.0,5.0,16.0,12.0,2174,11.495400000000002,Bangalore,Third Party insurance,Manual,First Owner,Petrol,SUV
2051,2021,1199,23137,90.0,5.0,20.0,7.59,2175,7.289899999999998,Lucknow,Third Party,Manual,First Owner,Petrol,Hatchback
2052,2018,796,35549,50.0,5.0,24.0,3.34,2176,3.3266999999999984,Ahmedabad,Third Party,Manual,First Owner,Petrol,Hatchback
2053,2018,1198,35646,70.0,5.0,16.0,6.46,2177,6.2586999999999975,Bangalore,Third Party,Manual,First Owner,Petrol,Sedan
2054,2016,1497,150000,120.0,5.0,18.0,4.0,2178,4.197500000000001,Kolkata,Third Party insurance,Manual,First Owner,Petrol,Sedan
2055,2014,1396,70000,90.0,5.0,22.0,3.5,2179,3.624100000000001,Delhi,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2056,2016,624,34737,40.0,4.0,22.0,3.25,2180,3.0038,Bangalore,Third Party insurance,Automatic,Second Owner,Petrol,Hatchback
2057,2018,1498,76200,100.0,5.0,22.0,8.0,2181,7.858500000000001,Jaipur,Comprehensive,Manual,First Owner,Diesel,SUV
2058,2021,999,20000,100.0,5.0,20.0,9.2,2182,9.289100000000012,Bangalore,Third Party insurance,Manual,First Owner,Petrol,SUV
2059,2019,1197,40000,80.0,5.0,18.0,5.5,2183,5.658200000000002,Agra,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2060,2021,1493,48612,110.0,5.0,24.0,14.25,2184,13.983000000000004,Mumbai,Comprehensive,Manual,First Owner,Diesel,Sedan
2061,2017,1498,43440,100.0,5.0,22.0,8.95,2185,8.57490000000001,Pune,Comprehensive,Automatic,First Owner,Diesel,Sedan
2062,2018,1197,70506,80.0,5.0,18.0,6.96,2186,6.485799999999999,Bangalore,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2063,2019,796,41872,50.0,5.0,24.0,3.75,2188,3.661200000000001,Bangalore,Third Party,Manual,First Owner,Petrol,Hatchback
2064,2016,1497,44000,120.0,7.0,16.0,6.95,2190,7.132100000000004,Mumbai,Third Party insurance,Manual,First Owner,Petrol,SUV
2065,2011,1086,69015,70.0,5.0,20.0,1.75,2191,1.9957,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2066,2010,998,42700,70.0,5.0,20.0,2.95,2192,2.6937999999999978,Chennai,Comprehensive,Manual,First Owner,Petrol,Hatchback
2067,2012,1086,70000,70.0,5.0,20.0,2.35,2194,2.344999999999997,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2068,2013,2523,120000,60.0,7.0,16.0,4.0,2195,4.0614,Jaipur,Third Party insurance,Manual,First Owner,Diesel,SUV
2069,2014,1197,55000,80.0,5.0,18.0,3.25,2196,3.2817000000000007,Kolkata,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2070,2016,1197,40000,80.0,5.0,18.0,4.25,2197,4.359299999999999,Jaipur,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2071,2008,796,30000,50.0,5.0,20.0,1.0,2198,0.9521552,Kolkata,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2072,2014,1499,44000,110.0,5.0,16.0,4.7,2199,4.543699999999996,Gurgaon,Comprehensive,Manual,First Owner,Petrol,SUV
2073,2008,1796,35235,190.0,5.0,12.0,5.0,2200,7.4764,Pune,Comprehensive,Automatic,Second Owner,Petrol,Sedan
2074,2021,1462,13000,100.0,5.0,18.0,9.9,2201,9.701099999999988,Delhi,Third Party,Manual,First Owner,Petrol,SUV
2075,2018,1248,87000,70.0,5.0,28.0,6.75,2202,6.65,Delhi,Third Party insurance,Manual,First Owner,Diesel,Sedan
2076,2015,1086,60000,70.0,5.0,20.0,2.3,2203,2.507400000000003,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2077,2020,796,61703,50.0,5.0,22.0,3.13,2204,3.297999999999999,Chandigarh,Third Party,Manual,First Owner,Petrol,Hatchback
2078,2021,1197,24378,90.0,5.0,22.0,7.59,2205,7.169500000000003,Gurgaon,Zero Dep,Manual,First Owner,Petrol,Hatchback
2079,2010,796,50000,50.0,5.0,20.0,2.55,2206,2.1362000000000028,Bangalore,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2080,2019,1199,44000,80.0,5.0,24.0,5.95,2207,5.839600000000001,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
2081,2011,1497,72000,120.0,5.0,16.0,3.45,2208,3.3419999999999948,Pune,Comprehensive,Manual,First Owner,Petrol,Sedan
2082,2017,1197,150000,80.0,5.0,20.0,4.65,2209,4.635599999999993,Mumbai,Third Party insurance,Manual,Second Owner,Petrol,Sedan
2083,2016,1498,70000,110.0,5.0,22.0,5.7,2210,5.875999999999998,Ahmedabad,Third Party insurance,Automatic,Second Owner,Diesel,Sedan
2084,2010,2494,120000,100.0,7.0,12.0,7.6,2211,7.31540000000001,Bangalore,Third Party insurance,Manual,Third Owner,Diesel,MUV
2085,2013,1197,68950,90.0,5.0,20.0,4.85,2212,4.578900000000002,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Sedan
2086,2019,1197,64000,80.0,5.0,22.0,7.25,2213,7.212999999999998,Hyderabad,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2087,2019,1950,35000,190.0,5.0,12.0,38.5,2214,39.48779999999999,Mumbai,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2088,2015,1120,96459,70.0,5.0,24.0,2.3,2215,2.618300000000003,Gurgaon,Not Available,Manual,First Owner,Diesel,Hatchback
2089,2020,1197,43692,80.0,5.0,22.0,7.7,2216,7.527300000000006,Pune,Third Party,Automatic,First Owner,Petrol,Sedan
2090,2018,1198,24481,110.0,5.0,16.0,7.17,2217,7.323299999999996,Delhi,Third Party insurance,Manual,First Owner,Petrol,SUV
2091,2012,796,42087,50.0,5.0,20.0,1.3,2218,1.4891000000000003,Gurgaon,Not Available,Manual,Second Owner,Petrol,Hatchback
2092,2013,2143,101000,200.0,5.0,12.0,19.95,2219,17.70200000000002,Hyderabad,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2093,2017,998,91002,70.0,5.0,24.0,3.29,2220,3.500300000000001,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2094,2013,1197,67473,90.0,5.0,22.0,4.52,2221,4.396699999999997,Hyderabad,Comprehensive,Manual,First Owner,Petrol,Sedan
2095,2013,936,80000,60.0,5.0,26.0,1.55,2223,1.5693,Lucknow,Third Party insurance,Manual,Second Owner,Diesel,Hatchback
2096,2018,1248,49074,70.0,5.0,26.0,6.25,2224,6.3752,Jaipur,Comprehensive,Manual,First Owner,Diesel,Hatchback
2097,2012,1197,70000,80.0,5.0,18.0,4.0,2225,3.8461,Bangalore,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2098,2016,999,26500,70.0,5.0,24.0,4.2,2226,4.385599999999996,Bangalore,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2099,2019,998,62230,70.0,5.0,34.0,4.92,2227,4.991800000000003,Delhi,Zero Dep,Manual,First Owner,CNG,Hatchback
2100,2016,998,48041,70.0,5.0,24.0,5.25,2228,4.896599999999999,Bangalore,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2101,2020,998,35728,60.0,5.0,32.0,5.98,2229,5.755000000000006,Ahmedabad,Comprehensive,Manual,First Owner,CNG,Hatchback
2102,2016,2179,86000,150.0,7.0,14.0,7.0,2230,7.559200000000001,Jaipur,Comprehensive,Manual,Second Owner,Diesel,SUV
2103,2015,2199,90000,190.0,7.0,14.0,13.99,2231,13.174300000000008,Mumbai,Third Party insurance,Automatic,First Owner,Diesel,SUV
2104,2020,1197,35540,90.0,5.0,22.0,7.38,2233,7.001399999999997,Hyderabad,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2105,2019,796,60000,50.0,5.0,22.0,3.2,2234,3.2025999999999955,Chennai,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2106,2018,1197,52000,80.0,5.0,22.0,5.25,2235,5.4151,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
2107,2011,1199,70000,80.0,5.0,18.0,1.7,2236,1.7190999999999994,Delhi,Third Party insurance,Manual,Second Owner,Petrol,Hatchback
2108,2019,1497,74573,120.0,5.0,18.0,7.15,2237,8.144299999999994,Jaipur,Third Party insurance,Automatic,First Owner,Petrol,Sedan
2109,2015,1364,90226,70.0,5.0,24.0,5.2,2238,4.889699999999996,Hyderabad,Comprehensive,Manual,First Owner,Diesel,Sedan
2110,2015,1197,70000,80.0,5.0,22.0,4.15,2239,4.2792999999999966,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2111,2019,1462,16413,100.0,6.0,20.0,10.15,2240,10.076199999999991,Mumbai,Third Party,Manual,First Owner,Petrol,MUV
2112,2017,1995,140000,190.0,5.0,22.0,28.5,2241,28.161800000000003,Bangalore,Comprehensive,Automatic,First Owner,Diesel,Sedan
2113,2018,998,20000,70.0,5.0,20.0,3.65,2242,3.7099999999999977,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2114,2018,1199,33195,90.0,5.0,20.0,6.64,2243,6.334299999999994,Ahmedabad,Zero Dep,Manual,First Owner,Petrol,Sedan
2115,2018,1199,69013,70.0,5.0,16.0,4.35,2244,4.442100000000006,Kolkata,Comprehensive,Manual,First Owner,Petrol,Hatchback
2116,2014,1999,93650,180.0,5.0,20.0,11.5,2245,11.648699999999996,Gurgaon,Comprehensive,Automatic,Third Owner,Diesel,Sedan
2117,2019,999,20000,70.0,7.0,20.0,4.35,2246,4.906400000000002,Agra,Third Party insurance,Manual,First Owner,Petrol,MUV
2118,2012,1197,52000,90.0,5.0,18.0,3.75,2247,3.6193999999999993,Pune,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2119,2012,1497,56446,120.0,5.0,16.0,4.94,2248,4.441199999999998,Lucknow,Third Party insurance,Automatic,Second Owner,Petrol,Sedan
2120,2016,1997,27000,150.0,5.0,14.0,16.45,2249,15.44980000000002,Delhi,Comprehensive,Automatic,First Owner,Petrol,SUV
2121,2014,1798,61000,160.0,5.0,14.0,6.5,2250,7.0453,Ahmedabad,Third Party,Automatic,Third Owner,Petrol,Sedan
2122,2021,999,20000,110.0,5.0,18.0,10.75,2251,10.521399999999998,Bangalore,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2123,2012,814,120000,60.0,5.0,22.0,1.65,2252,1.6212000000000015,Ahmedabad,Third Party insurance,Manual,Fifth Owner,Petrol,Hatchback
2124,2012,1248,114589,70.0,5.0,22.0,4.35,2253,4.010700000000005,Pune,Third Party insurance,Manual,First Owner,Diesel,Hatchback
2125,2020,1493,44500,110.0,5.0,22.0,13.13,2254,13.756800000000004,Ahmedabad,Zero Dep,Automatic,First Owner,Diesel,Sedan
2126,2011,998,70000,70.0,5.0,18.0,3.0,2255,2.6178000000000003,Delhi,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2127,2014,1248,75000,70.0,5.0,26.0,4.6,2256,4.557100000000006,Mumbai,Comprehensive,Manual,First Owner,Diesel,Hatchback
2128,2017,1197,60000,80.0,5.0,22.0,5.0,2257,5.1126,Ahmedabad,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2129,2015,2494,191297,100.0,7.0,12.0,12.5,2259,12.3051,Bangalore,Comprehensive,Manual,Second Owner,Diesel,MUV
2130,2016,1197,68672,80.0,5.0,18.0,5.83,2260,5.856899999999999,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2131,2013,3498,42719,270.0,2.0,10.0,27.5,2261,27.2073,Kolkata,Comprehensive,Automatic,Third Owner,Petrol,Mercedes-Benz
2132,2017,1248,45000,90.0,5.0,24.0,6.7,2262,6.732600000000002,Delhi,Comprehensive,Manual,First Owner,Diesel,SUV
2133,2018,2393,70142,150.0,8.0,14.0,16.1,2263,16.21249999999998,Delhi,Comprehensive,Manual,First Owner,Diesel,MUV
2134,2016,1598,82000,100.0,5.0,16.0,6.9,2264,6.516399999999993,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Sedan
2135,2021,1199,14087,80.0,5.0,18.0,7.82,2265,7.855600000000012,Delhi,Comprehensive,Manual,First Owner,Petrol,Hatchback
2136,2022,796,10000,50.0,5.0,22.0,4.6,2267,4.330600000000004,Gurgaon,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2137,2016,2143,61000,140.0,5.0,18.0,19.75,2268,18.601,Pune,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2138,2018,1582,60000,130.0,5.0,18.0,8.5,2269,9.497799999999998,Kolkata,Third Party insurance,Automatic,Second Owner,Diesel,SUV
2139,2017,998,83596,70.0,5.0,20.0,4.1,2270,4.042700000000004,Hyderabad,Comprehensive,Manual,First Owner,Petrol,Hatchback
2140,2018,998,50000,70.0,5.0,22.0,4.85,2271,4.582900000000006,Delhi,Third Party insurance,Automatic,First Owner,Petrol,Hatchback
2141,2017,1197,27015,80.0,5.0,20.0,7.49,2272,6.962500000000007,Bangalore,Third Party insurance,Automatic,Second Owner,Petrol,Hatchback
2142,2019,2179,60000,150.0,7.0,16.0,12.0,2273,12.9966,Ahmedabad,Third Party insurance,Manual,First Owner,Diesel,SUV
2143,2019,2755,66000,170.0,7.0,12.0,28.0,2274,28.943,Delhi,Comprehensive,Automatic,Second Owner,Diesel,SUV
2144,2015,1196,30000,90.0,5.0,18.0,4.9,2275,4.480699999999995,Delhi,Comprehensive,Manual,First Owner,Petrol,Sedan
2145,2018,1591,58000,120.0,5.0,12.0,11.75,2276,11.8165,Mumbai,Comprehensive,Automatic,First Owner,Petrol,SUV
2146,2017,1373,25000,90.0,5.0,20.0,6.95,2277,6.635600000000002,Mumbai,Zero Dep,Manual,First Owner,Petrol,Sedan
2147,2016,1197,29220,80.0,5.0,18.0,4.94,2278,4.897899999999998,Mumbai,Third Party,Manual,Second Owner,Petrol,Hatchback
2148,2018,2755,90000,170.0,7.0,12.0,18.5,2279,17.6289,Delhi,Comprehensive,Automatic,First Owner,Diesel,MUV
2149,2015,998,17314,70.0,5.0,24.0,3.36,2280,3.609200000000005,Delhi,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2150,2017,1248,73848,70.0,5.0,26.0,4.69,2281,4.7079999999999975,Lucknow,Third Party,Manual,First Owner,Diesel,Hatchback
2151,2017,1997,44000,240.0,7.0,12.0,38.0,2282,39.594,Delhi,Comprehensive,Automatic,First Owner,Petrol,SUV
2152,2021,999,43000,110.0,5.0,20.0,15.5,2283,14.489900000000004,Bangalore,Comprehensive,Manual,First Owner,Petrol,SUV
2153,2019,1497,46519,120.0,5.0,16.0,7.76,2284,8.024199999999997,Mumbai,Third Party insurance,Manual,Second Owner,Petrol,SUV
2154,2020,1199,17678,90.0,5.0,20.0,7.92,2285,7.957499999999997,Mumbai,Zero Dep,Automatic,First Owner,Petrol,Sedan
2155,2022,1498,30000,110.0,5.0,16.0,14.0,2286,13.474299999999998,Lucknow,Third Party insurance,Manual,First Owner,Petrol,SUV
2156,2021,1497,37539,90.0,5.0,24.0,8.17,2287,8.16829999999999,Delhi,Zero Dep,Manual,First Owner,Diesel,Hatchback
2157,2017,2143,10000,170.0,5.0,20.0,32.0,2288,32.4196,Bangalore,Third Party insurance,Automatic,First Owner,Diesel,Sedan
2158,2017,1197,33850,80.0,5.0,22.0,7.11,2289,6.960800000000005,Bangalore,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2159,2009,1197,90000,80.0,5.0,16.0,2.25,2290,2.309299999999999,Bangalore,Third Party insurance,Manual,Fifth Owner,Petrol,Hatchback
2160,2009,1497,90000,120.0,5.0,16.0,1.75,2291,1.8865000000000007,Ahmedabad,Third Party insurance,Manual,Fourth Owner,Petrol,Sedan
2161,2020,1330,20600,150.0,5.0,16.0,9.63,2292,11.022200000000003,Bangalore,Third Party insurance,Manual,Second Owner,Petrol,SUV
2162,2014,1197,80888,90.0,5.0,22.0,3.52,2293,3.489399999999998,Delhi,Comprehensive,Manual,First Owner,Petrol,Sedan
2163,2019,999,40000,70.0,5.0,22.0,4.1,2294,4.171000000000004,Delhi,Comprehensive,Automatic,First Owner,Petrol,Hatchback
2164,2014,1197,45000,90.0,5.0,18.0,2.99,2295,3.0468000000000037,Kolkata,Comprehensive,Manual,First Owner,Petrol,Hatchback
2165,2011,1197,79363,80.0,5.0,16.0,3.13,2296,3.162199999999999,Bangalore,Third Party,Automatic,Second Owner,Petrol,Hatchback
2166,2014,1197,55836,80.0,5.0,18.0,4.87,2297,4.5755,Bangalore,Comprehensive,Manual,First Owner,Petrol,Hatchback
2167,2016,1248,90000,90.0,5.0,28.0,4.4,2298,4.810899999999995,Delhi,Third Party insurance,Manual,First Owner,Diesel,Sedan
2168,2016,998,50291,70.0,5.0,20.0,4.27,2299,4.257099999999995,Chennai,Comprehensive,Automatic,Second Owner,Petrol,Hatchback
2169,2014,998,76461,60.0,5.0,26.0,3.09,2300,3.060399999999999,Mumbai,Third Party insurance,Manual,Third Owner,CNG,Hatchback
2170,2016,1498,110000,100.0,5.0,22.0,5.5,2301,5.5587,Pune,Third Party insurance,Manual,First Owner,Diesel,SUV
2171,2017,1497,43126,120.0,5.0,18.0,8.45,2302,8.730700000000008,Bangalore,Comprehensive,Automatic,First Owner,Petrol,Sedan
2172,2018,1591,31687,120.0,5.0,12.0,9.98,2303,10.522600000000011,Gurgaon,Zero Dep,Automatic,First Owner,Petrol,SUV
2173,2019,1197,80000,80.0,5.0,22.0,4.8,2304,5.2435000000000045,Gurgaon,Third Party insurance,Manual,First Owner,Petrol,Hatchback
2174,2021,1956,74008,170.0,6.0,16.0,17.0,2305,17.4905,Chennai,Not Available,Manual,First Owner,Diesel,SUV
2175,2018,2179,30000,150.0,7.0,18.0,10.5,2306,10.6833,Delhi,Third Party insurance,Manual,First Owner,Diesel,SUV
2176,2011,1197,70023,80.0,5.0,20.0,2.35,2307,2.3753999999999973,Pune,Comprehensive,Manual,Second Owner,Petrol,Hatchback
2177,2018,1496,25000,120.0,5.0,14.0,7.28,2308,7.542499999999992,Mumbai,Third Party insurance,Automatic,First Owner,Petrol,SUV
2178,2017,1199,36887,90.0,5.0,18.0,8.65,2310,8.195199999999991,Bangalore,Third Party insurance,Manual,First Owner,Petrol,SUV
2179,2015,1591,29033,120.0,5.0,12.0,7.66,2311,7.708399999999999,Lucknow,Comprehensive,Manual,First Owner,Petrol,SUV
2180,2013,1197,88833,90.0,5.0,22.0,3.1,2312,3.350200000000001,Gurgaon,Comprehensive,Manual,Second Owner,Petrol,Sedan
2181,2017,1197,36405,80.0,5.0,18.0,5.21,2313,5.345199999999995,Delhi,Zero Dep,Automatic,First Owner,Petrol,Hatchback
2182,2022,1199,20000,120.0,5.0,18.0,10.7,2314,10.45060000000001,Jaipur,Third Party insurance,Manual,First Owner,Petrol,SUV
2183,2016,1498,60000,100.0,7.0,24.0,6.0,2315,6.182100000000002,Hyderabad,Third Party insurance,Manual,First Owner,Diesel,MUV
2184,2015,1461,57482,80.0,5.0,20.0,5.0,2316,4.8915000000000015,Jaipur,Not Available,Manual,First Owner,Diesel,SUV
